group,family,simplified_species,commum_name,threat_category,acronym_threat_category,presence_in_protected_areas,national_action_plan_for_conservation_,fishing_planning,level_of_protection_in_the_national_strategy,exclusive_species_of_brazil,occurrence_states_y,main_threats_y,biome,category,lats_longs_animals
Aquatic Invertebrates,Aeglidae,Aegla grisella,Egla,Vulnerable (VU),VU,No,Yes,No,1.0,Yes,RS,Fishing,Atlantic Forest,Arthropods,[-56.77146525 -29.35433047]
Aquatic Invertebrates,Aeglidae,Aegla inconspicua,Egla,Vulnerable (VU),VU,Yes,Yes,No,1.0,Yes,RS,Fishing,Atlantic Forest,Arthropods,[-53.43595745 -33.56127228]
Aquatic Invertebrates,Aeglidae,Aegla inconspicua,Egla,Vulnerable (VU),VU,Yes,Yes,No,1.0,Yes,RS,Fishing,Pampa,Arthropods,[-53.43133436 -32.39791435]
Aquatic Invertebrates,Aeglidae,Aegla inermis,Egla,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,RS,Fishing,Atlantic Forest,Arthropods,[-52.64425302 -32.30670435]
Aquatic Invertebrates,Aeglidae,Aegla inermis,Egla,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,RS,Fishing,Pampa,Arthropods,[-57.53603486 -30.12208159]
Aquatic Invertebrates,Aeglidae,Aegla itacolomiensis,Egla,Endangered (EN),EN,No,Yes,No,1.0,Yes,RS,Agriculture,Atlantic Forest,Arthropods,[-55.15972702 -31.18262106]
Aquatic Invertebrates,Aeglidae,Aegla itacolomiensis,Egla,Endangered (EN),EN,No,Yes,No,1.0,Yes,RS,Agriculture,Pampa,Arthropods,[-50.08756902 -29.1897881 ]
Aquatic Invertebrates,Aeglidae,Aegla itacolomiensis,Egla,Endangered (EN),EN,No,Yes,No,1.0,Yes,RS,Human Settlement,Atlantic Forest,Arthropods,[-55.99614181 -30.81627502]
Aquatic Invertebrates,Aeglidae,Aegla itacolomiensis,Egla,Endangered (EN),EN,No,Yes,No,1.0,Yes,RS,Human Settlement,Pampa,Arthropods,[-56.71010297 -29.3281516 ]
Aquatic Invertebrates,Aeglidae,Aegla lata,Egla,Critically Endangered (CR),CR,No,Yes,No,1.0,Yes,PR,Agriculture,Atlantic Forest,Arthropods,[-48.11163652 -24.51974709]
Aquatic Invertebrates,Aeglidae,Aegla lata,Egla,Critically Endangered (CR),CR,No,Yes,No,1.0,Yes,PR,Tourism,Atlantic Forest,Arthropods,[-49.07454134 -24.21108626]
Aquatic Invertebrates,Aeglidae,Aegla leachi,Egla,Endangered (EN),EN,No,Yes,No,1.0,Yes,SC,Mining,Atlantic Forest,Arthropods,[-52.52149239 -27.24066975]
Aquatic Invertebrates,Aeglidae,Aegla leptochela,Egla,Critically Endangered (CR),CR,No,No,No,1.0,Yes,SP,Agriculture,Atlantic Forest,Arthropods,[-44.94849548 -23.31190558]
Aquatic Invertebrates,Aeglidae,Aegla leptochela,Egla,Critically Endangered (CR),CR,No,No,No,1.0,Yes,SP,Human Settlement,Atlantic Forest,Arthropods,[-46.32981277 -23.89481576]
Aquatic Invertebrates,Aeglidae,Aegla leptochela,Egla,Critically Endangered (CR),CR,No,No,No,1.0,Yes,SP,Mining,Atlantic Forest,Arthropods,[-49.58399347 -23.32827867]
Aquatic Invertebrates,Aeglidae,Aegla leptochela,Egla,Critically Endangered (CR),CR,No,No,No,1.0,Yes,SP,Energy production,Atlantic Forest,Arthropods,[-49.56671293 -23.55363416]
Aquatic Invertebrates,Aeglidae,Aegla leptodactyla,Egla,Vulnerable (VU),VU,Yes,Yes,No,1.0,Yes,RS,Agriculture,Atlantic Forest,Arthropods,[-50.11290433 -28.42637102]
Aquatic Invertebrates,Aeglidae,Aegla leptodactyla,Egla,Vulnerable (VU),VU,Yes,Yes,No,1.0,Yes,SC,Agriculture,Atlantic Forest,Arthropods,[-53.69882072 -26.68329957]
Aquatic Invertebrates,Aeglidae,Aegla ligulata,Egla,Vulnerable (VU),VU,Yes,Yes,No,2.0,Yes,RS,Agriculture,Atlantic Forest,Arthropods,[-56.131884   -28.76607934]
Aquatic Invertebrates,Aeglidae,Aegla manuinflata,Egla,Endangered (EN),EN,No,Yes,No,1.0,Yes,RS,Energy production,Atlantic Forest,Arthropods,[-52.66962781 -32.30988416]
Aquatic Invertebrates,Aeglidae,Aegla manuinflata,Egla,Endangered (EN),EN,No,Yes,No,1.0,Yes,RS,Energy production,Pampa,Arthropods,[-52.64580315 -27.22597667]
Aquatic Invertebrates,Aeglidae,Aegla microphthalma,Egla,Critically Endangered (CR),CR,Yes,No,No,2.0,Yes,SP,Energy production,Atlantic Forest,Arthropods,[-48.43194128 -24.69144678]
Aquatic Invertebrates,Aeglidae,Aegla oblata,Egla,Endangered (EN),EN,No,Yes,No,1.0,Yes,SC,Pollution,Atlantic Forest,Arthropods,[-53.70326513 -26.90938666]
Aquatic Invertebrates,Aeglidae,Aegla obstipa,Egla,Endangered (EN),EN,No,No,No,0.0,Yes,RS,Pollution,Pampa,Arthropods,[-50.24099528 -30.35577635]
Aquatic Invertebrates,Aeglidae,Aegla perobae,Egla,Critically Endangered (CR),CR,Yes,Yes,No,2.0,Yes,SP,Pollution,Atlantic Forest,Arthropods,[-44.69731304 -22.34166017]
Aquatic Invertebrates,Aeglidae,Aegla plana,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,RS,Human Settlement,Atlantic Forest,Arthropods,[-57.45354349 -30.21081547]
Aquatic Invertebrates,Aeglidae,Aegla plana,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,RS,Human Settlement,Pampa,Arthropods,[-53.17220914 -32.62558259]
Aquatic Invertebrates,Aeglidae,Aegla plana,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,RS,Transport,Atlantic Forest,Arthropods,[-53.09737862 -32.81888387]
Aquatic Invertebrates,Aeglidae,Aegla plana,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,RS,Transport,Pampa,Arthropods,[-55.60252818 -30.87003777]
Aquatic Invertebrates,Aeglidae,Aegla plana,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,RS,Pollution,Atlantic Forest,Arthropods,[-53.39730367 -33.13299657]
Aquatic Invertebrates,Aeglidae,Aegla plana,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,RS,Pollution,Pampa,Arthropods,[-53.61654018 -32.17024013]
Aquatic Invertebrates,Aeglidae,Aegla pomerana,Egla,Endangered (EN),EN,No,Yes,No,1.0,Yes,SC,Human Settlement,Atlantic Forest,Arthropods,[-49.75076244 -25.98073919]
Aquatic Invertebrates,Aeglidae,Aegla pomerana,Egla,Endangered (EN),EN,No,Yes,No,1.0,Yes,SC,Transport,Atlantic Forest,Arthropods,[-49.89357328 -29.03149883]
Aquatic Invertebrates,Aeglidae,Aegla pomerana,Egla,Endangered (EN),EN,No,Yes,No,1.0,Yes,SC,Pollution,Atlantic Forest,Arthropods,[-50.79576535 -26.22428313]
Aquatic Invertebrates,Aeglidae,Aegla renana,Egla,Critically Endangered (CR),CR,Yes,Yes,No,1.0,Yes,RS,Energy production,Pampa,Arthropods,[-55.95858467 -31.04961038]
Aquatic Invertebrates,Aeglidae,Aegla rossiana,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,RS,Fishing,Atlantic Forest,Arthropods,[-54.53288606 -27.46577454]
Aquatic Invertebrates,Aeglidae,Aegla rossiana,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,RS,Fishing,Pampa,Arthropods,[-56.12304701 -28.69868442]
Aquatic Invertebrates,Aeglidae,Aegla rossiana,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,RS,Tourism,Atlantic Forest,Arthropods,[-51.20152483 -30.02236815]
Aquatic Invertebrates,Aeglidae,Aegla rossiana,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,RS,Tourism,Pampa,Arthropods,[-56.71038561 -29.38520253]
Aquatic Invertebrates,Aeglidae,Aegla rossiana,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,RS,Pollution,Atlantic Forest,Arthropods,[-53.88144799 -27.13418332]
Aquatic Invertebrates,Aeglidae,Aegla rossiana,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,RS,Pollution,Pampa,Arthropods,[-55.09233061 -31.21109564]
Aquatic Invertebrates,Aeglidae,Aegla rossiana,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,SC,Fishing,Atlantic Forest,Arthropods,[-53.34781416 -27.07536887]
Aquatic Invertebrates,Aeglidae,Aegla rossiana,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,SC,Fishing,Pampa,Arthropods,[-53.09391756 -27.17606955]
Aquatic Invertebrates,Aeglidae,Aegla rossiana,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,SC,Tourism,Atlantic Forest,Arthropods,[-48.54807422 -26.84370363]
Aquatic Invertebrates,Aeglidae,Aegla rossiana,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,SC,Tourism,Pampa,Arthropods,[-53.64564468 -26.92506641]
Aquatic Invertebrates,Aeglidae,Aegla rossiana,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,SC,Pollution,Atlantic Forest,Arthropods,[-48.50335741 -26.42512266]
Aquatic Invertebrates,Aeglidae,Aegla rossiana,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,SC,Pollution,Pampa,Arthropods,[-53.65535635 -26.71333806]
Aquatic Invertebrates,Aeglidae,Aegla spinipalma,Egla,Vulnerable (VU),VU,No,Yes,No,1.0,Yes,RS,Fishing,Atlantic Forest,Arthropods,[-53.48034449 -27.17148215]
Aquatic Invertebrates,Aeglidae,Aegla spinipalma,Egla,Vulnerable (VU),VU,No,Yes,No,1.0,Yes,RS,Fishing,Pampa,Arthropods,[-53.37562991 -33.63992639]
Aquatic Invertebrates,Aeglidae,Aegla spinipalma,Egla,Vulnerable (VU),VU,No,Yes,No,1.0,Yes,RS,Tourism,Atlantic Forest,Arthropods,[-52.09071007 -31.58713175]
Aquatic Invertebrates,Aeglidae,Aegla spinipalma,Egla,Vulnerable (VU),VU,No,Yes,No,1.0,Yes,RS,Tourism,Pampa,Arthropods,[-50.65399651 -30.1919587 ]
Aquatic Invertebrates,Aeglidae,Aegla spinipalma,Egla,Vulnerable (VU),VU,No,Yes,No,1.0,Yes,RS,Pollution,Atlantic Forest,Arthropods,[-51.4147869  -31.54144331]
Aquatic Invertebrates,Aeglidae,Aegla spinipalma,Egla,Vulnerable (VU),VU,No,Yes,No,1.0,Yes,RS,Pollution,Pampa,Arthropods,[-54.43415848 -31.60042712]
Aquatic Invertebrates,Aeglidae,Aegla spinosa,Egla,Vulnerable (VU),VU,No,Yes,No,1.0,Yes,RS,Fishing,Atlantic Forest,Arthropods,[-53.87251666 -31.86561268]
Aquatic Invertebrates,Aeglidae,Aegla spinosa,Egla,Vulnerable (VU),VU,No,Yes,No,1.0,Yes,RS,Tourism,Atlantic Forest,Arthropods,[-55.47802308 -30.84478791]
Aquatic Invertebrates,Aeglidae,Aegla spinosa,Egla,Vulnerable (VU),VU,No,Yes,No,1.0,Yes,RS,Pollution,Atlantic Forest,Arthropods,[-53.12559636 -32.62423871]
Aquatic Invertebrates,Aeglidae,Aegla spinosa,Egla,Vulnerable (VU),VU,No,Yes,No,1.0,Yes,SC,Fishing,Atlantic Forest,Arthropods,[-52.82741702 -27.10820557]
Aquatic Invertebrates,Aeglidae,Aegla spinosa,Egla,Vulnerable (VU),VU,No,Yes,No,1.0,Yes,SC,Tourism,Atlantic Forest,Arthropods,[-52.63284227 -27.23797809]
Aquatic Invertebrates,Aeglidae,Aegla spinosa,Egla,Vulnerable (VU),VU,No,Yes,No,1.0,Yes,SC,Pollution,Atlantic Forest,Arthropods,[-50.85262854 -27.97496163]
Aquatic Invertebrates,Aeglidae,Aegla strinatii,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,PR,Fishing,Atlantic Forest,Arthropods,[-48.97932889 -22.20581663]
Aquatic Invertebrates,Aeglidae,Aegla strinatii,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,PR,Tourism,Atlantic Forest,Arthropods,[-47.28190139 -24.47836191]
Aquatic Invertebrates,Aeglidae,Aegla strinatii,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,PR,Pollution,Atlantic Forest,Arthropods,[-53.83816035 -24.28330252]
Aquatic Invertebrates,Aeglidae,Aegla strinatii,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,SP,Fishing,Atlantic Forest,Arthropods,[-48.5140865  -24.83582325]
Aquatic Invertebrates,Aeglidae,Aegla strinatii,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,SP,Tourism,Atlantic Forest,Arthropods,[-49.4238079 -24.0272321]
Aquatic Invertebrates,Aeglidae,Aegla strinatii,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,SP,Pollution,Atlantic Forest,Arthropods,[-46.09738284 -22.79004039]
Aquatic Invertebrates,Aeglidae,Aegla violacea,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,RS,Fishing,Pampa,Arthropods,[-51.0636217  -30.36514998]
Aquatic Invertebrates,Aeglidae,Aegla violacea,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,RS,Tourism,Pampa,Arthropods,[-49.90179821 -28.70648376]
Aquatic Invertebrates,Aeglidae,Aegla violacea,Egla,Endangered (EN),EN,Yes,Yes,No,1.0,Yes,RS,Pollution,Pampa,Arthropods,[-52.05293477 -32.16138236]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,MT,Fishing,Amazon,Fish,[-59.33754371 -10.54294254]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,MT,Fishing,Cerrado,Fish,[-57.32507615  -6.7403708 ]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,MT,Tourism,Amazon,Fish,[-52.67717417 -16.23852582]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,MT,Tourism,Cerrado,Fish,[-57.90801095 -16.30858329]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,MT,Pollution,Amazon,Fish,[-60.33878827 -10.74399965]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,MT,Pollution,Cerrado,Fish,[-52.79882971 -17.67027913]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,PA,Fishing,Amazon,Fish,[-57.57923701   1.70850929]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,PA,Fishing,Cerrado,Fish,[-48.51642823  -0.21864008]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,PA,Tourism,Amazon,Fish,[-54.28120378  -9.52896562]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,PA,Tourism,Cerrado,Fish,[-53.00631807   0.19133516]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,PA,Pollution,Amazon,Fish,[-46.85051982  -3.28711288]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,PA,Pollution,Cerrado,Fish,[-50.96741391   0.09906066]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,TO,Fishing,Amazon,Fish,[-49.83061347 -11.67438497]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,TO,Fishing,Cerrado,Fish,[-45.85604271  -8.84236045]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,TO,Tourism,Amazon,Fish,[-46.07653317  -8.78050181]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,TO,Tourism,Cerrado,Fish,[-46.9622926   -7.33989644]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,TO,Pollution,Amazon,Fish,[-46.25843071 -10.42713934]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,TO,Pollution,Cerrado,Fish,[-45.761921   -11.69515937]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,AL,Agriculture,Marine,Sharks,[-36.27421768  -9.17295579]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,AL,Transport,Marine,Sharks,[-37.7685056   -9.56349096]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,AP,Agriculture,Marine,Sharks,[-52.40683791   2.91303267]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,AP,Transport,Marine,Sharks,[-53.38876649   2.29046004]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,BA,Agriculture,Marine,Sharks,[-45.52949181 -14.93124371]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,BA,Transport,Marine,Sharks,[-46.03775158 -13.28777438]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,CE,Agriculture,Marine,Sharks,[-38.77513854  -7.67537273]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,CE,Transport,Marine,Sharks,[-41.22314298  -3.747142  ]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,ES,Agriculture,Marine,Sharks,[-39.8041502  -19.54036726]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,ES,Transport,Marine,Sharks,[-41.76611335 -20.68348686]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,MA,Agriculture,Marine,Sharks,[-45.05779221  -1.4053287 ]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,MA,Transport,Marine,Sharks,[-45.79515874  -1.20620118]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,PA,Agriculture,Marine,Sharks,[-46.15963673  -0.84932659]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,PA,Transport,Marine,Sharks,[-48.35694634  -0.40257132]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,PB,Agriculture,Marine,Sharks,[-37.92344198  -6.18116992]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,PB,Transport,Marine,Sharks,[-38.66228076  -6.36735912]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,PE,Agriculture,Marine,Sharks,[-32.37561405  -3.8003501 ]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,PE,Transport,Marine,Sharks,[-35.7475295   -8.77492187]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,PI,Agriculture,Marine,Sharks,[-41.6051178  -2.8040001]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,PI,Transport,Marine,Sharks,[-41.31937452  -3.55249769]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,PR,Agriculture,Marine,Sharks,[-47.19366141 -24.63211487]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,PR,Transport,Marine,Sharks,[-51.1882835  -26.15253095]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,RJ,Agriculture,Marine,Sharks,[-42.96992856 -22.66186272]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,RJ,Transport,Marine,Sharks,[-44.132091   -23.11544331]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,RN,Agriculture,Marine,Sharks,[-38.32053324  -5.99646839]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,RN,Transport,Marine,Sharks,[-37.87134589  -5.44122563]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,RS,Agriculture,Marine,Sharks,[-56.18256965 -28.68943343]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,RS,Transport,Marine,Sharks,[-54.63840195 -27.53229258]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,SC,Agriculture,Marine,Sharks,[-48.57009525 -27.54771448]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,SC,Transport,Marine,Sharks,[-52.26682307 -27.27232888]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,SE,Agriculture,Marine,Sharks,[-37.70361355 -10.11739925]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,SE,Transport,Marine,Sharks,[-37.95088802 -11.15367053]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,SP,Agriculture,Marine,Sharks,[-44.7503725  -23.04239595]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,SP,Transport,Marine,Sharks,[-45.36689832 -23.81733028]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,AL,Agriculture,Marine,Sharks,[-36.58879169  -9.28903602]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,AP,Agriculture,Marine,Sharks,[-52.37171467   2.88331978]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,BA,Agriculture,Marine,Sharks,[-39.26179546 -17.76409209]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,CE,Agriculture,Marine,Sharks,[-38.89261583  -3.42303331]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,ES,Agriculture,Marine,Sharks,[-40.17821914 -20.05635896]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,MA,Agriculture,Marine,Sharks,[-45.19633806  -1.59983532]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,PA,Agriculture,Marine,Sharks,[-52.04953054  -1.15723001]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,PB,Agriculture,Marine,Sharks,[-36.03885733  -6.03878858]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,PE,Agriculture,Marine,Sharks,[-35.97412517  -7.79391668]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,PI,Agriculture,Marine,Sharks,[-43.5810837   -9.75123072]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,Yes,Yes,Yes,4.0,No,PR,Agriculture,Marine,Sharks,[-49.22313974 -22.72489564]
